DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19950517,62550.0000,64050.0000,62343.7500,63881.2500,5956,17297,0,0,0.0000
19950518,63093.7500,63562.5000,62287.5000,62400.0000,8823,16652,0,0,0.0000
19950519,62625.0000,63093.7500,62325.0000,62662.5000,5184,16505,0,0,0.0000
19950522,62362.5000,62512.5000,60787.5000,60881.2500,9871,17973,0,0,0.0000
19950523,60543.7500,60937.5000,57300.0000,58293.7500,20248,19908,0,0,0.0000
19950524,57525.0000,59212.5000,56400.0000,56643.7500,11252,19707,0,0,0.0000
19950525,56025.0000,58500.0000,55875.0000,58068.7500,10200,19221,0,0,0.0000
19950526,58406.2500,58987.5000,55875.0000,57037.5000,7938,19008,0,0,0.0000
19950530,57187.5000,58125.0000,56906.2500,57768.7500,5024,17853,0,0,0.0000
19950531,58125.0000,58612.5000,56812.5000,57693.7500,8067,18265,0,0,0.0000
19950601,58031.2500,59906.2500,58031.2500,59493.7500,9917,17420,0,0,0.0000
19950602,60562.5000,60750.0000,58725.0000,59850.0000,8160,17079,0,0,0.0000
19950605,59493.7500,59718.7500,59250.0000,59400.0000,2207,16334,0,0,0.0000
19950606,58987.5000,59212.5000,58012.5000,58743.7500,6602,16090,0,0,0.0000
19950607,58406.2500,58950.0000,55687.5000,56306.2500,11708,15964,0,0,0.0000
19950608,56437.5000,57187.5000,55687.5000,56887.5000,8342,15668,199509,199509,0.0000
19950609,58312.5000,58575.0000,57187.5000,57900.0000,7754,12169,0,0,1031.2500
19950612,57562.5000,58687.5000,57562.5000,58425.0000,5007,12218,0,0,0.0000
19950613,58218.7500,58350.0000,55387.5000,55631.2500,12634,13533,0,0,0.0000
19950614,56100.0000,57075.0000,55537.5000,55743.7500,16632,16565,0,0,0.0000
19950615,56062.5000,59250.0000,55968.7500,58331.2500,10422,16491,0,0,0.0000
19950616,57712.5000,57825.0000,56268.7500,56775.0000,9102,16968,0,0,0.0000
19950619,55781.2500,55968.7500,54975.0000,55668.7500,8367,17656,0,0,0.0000
19950620,55500.0000,56962.5000,55500.0000,56550.0000,8283,18566,0,0,0.0000
19950621,57150.0000,58200.0000,55950.0000,56306.2500,12876,19736,0,0,0.0000
19950622,57187.5000,57731.2500,56175.0000,56381.2500,5830,20248,0,0,0.0000
19950623,55875.0000,56100.0000,53250.0000,54356.2500,9082,20635,0,0,0.0000
19950626,54750.0000,55050.0000,51375.0000,51918.7500,7012,20980,0,0,0.0000
19950627,52406.2500,52500.0000,50343.7500,51787.5000,8901,20465,0,0,0.0000
19950628,51843.7500,52631.2500,51375.0000,52256.2500,5712,20011,0,0,0.0000
19950629,52687.5000,53156.2500,51000.0000,51337.5000,5855,20008,0,0,0.0000
19950630,50287.5000,50793.7500,48750.0000,48862.5000,6145,20162,0,0,0.0000
19950705,48750.0000,50250.0000,47062.5000,47306.2500,8826,19807,0,0,0.0000
19950706,45750.0000,46837.5000,45000.0000,45393.7500,9953,20565,0,0,0.0000
19950707,45937.5000,49237.5000,45862.5000,48693.7500,9378,20684,0,0,0.0000
19950710,49312.5000,52125.0000,47906.2500,51506.2500,10360,20695,0,0,0.0000
19950711,51562.5000,52556.2500,50531.2500,51168.7500,8707,20386,0,0,0.0000
19950712,50962.5000,52406.2500,50550.0000,51975.0000,7931,19787,0,0,0.0000
19950713,51937.5000,52406.2500,51412.5000,52200.0000,4770,19734,0,0,0.0000
19950714,52275.0000,54712.5000,52275.0000,54262.5000,10217,18927,0,0,0.0000
19950717,53287.5000,53625.0000,51693.7500,52237.5000,8271,18594,0,0,0.0000
19950718,50906.2500,52387.5000,49950.0000,52012.5000,9185,18303,0,0,0.0000
19950719,52387.5000,53362.5000,51975.0000,52331.2500,6430,18228,0,0,0.0000
